timestamp,cycle_id,commodity,contract,phase,agent,prompt_source,model_provider,model_name,assigned_provider,assigned_model,persona_hash,dspy_version,demo_count,tms_context_count,grounded_freshness_hours,reflexion_applied,prompt_tokens,completion_tokens,latency_ms
2026-03-16 14:09:41+00:00,NG-a9afc23a,NG,NGU26 (202608),research,supply_chain,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,f90168aca94f,,0,3,14,False,2485,353,17047.823190689087
2026-03-16 14:09:45+00:00,NG-a9afc23a,NG,NGU26 (202608),research,sentiment,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,5516ee156388,,0,3,14,False,2652,299,18902.194261550903
2026-03-16 14:09:46+00:00,NG-a9afc23a,NG,NGU26 (202608),research,inventory,commodity_profile,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,4d667b93ed4a,,0,3,86,False,4120,812,20710.482835769653
2026-03-16 14:09:49+00:00,NG-a9afc23a,NG,NGU26 (202608),research,technical,commodity_profile,openai,o3-2025-04-16,openai,o3-2025-04-16,87284643c9fb,,0,3,14,False,2731,974,21722.469329833984
2026-03-16 14:09:54+00:00,NG-a9afc23a,NG,NGU26 (202608),research,volatility,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,613,347,14775.589227676392
2026-03-16 14:09:55+00:00,NG-a9afc23a,NG,NGU26 (202608),research,supply_chain,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,658,413,13402.52161026001
2026-03-16 14:09:56+00:00,NG-a9afc23a,NG,NGU26 (202608),research,sentiment,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,605,307,10231.90689086914
2026-03-16 14:09:59+00:00,NG-a9afc23a,NG,NGU26 (202608),research,macro,legacy,openai,gpt-5.2,openai,gpt-5.2,,,0,0,0.0,True,731,1048,19049.423694610596
2026-03-16 14:10:04+00:00,NG-a9afc23a,NG,NGU26 (202608),research,inventory,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,,,0,0,0.0,True,999,907,17611.645221710205
2026-03-16 14:10:08+00:00,NG-a9afc23a,NG,NGU26 (202608),research,technical,legacy,openai,o3-2025-04-16,openai,o3-2025-04-16,,,0,0,0.0,True,678,964,18143.404483795166
2026-03-16 14:10:09+00:00,NG-a9afc23a,NG,NGU26 (202608),research,geopolitical,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,5597c7fc858d,,0,3,14,False,2547,371,45764.55545425415
2026-03-16 14:10:10+00:00,NG-a9afc23a,NG,NGU26 (202608),research,agronomist,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,6a062652d6d1,,0,3,14,False,3020,397,48679.74400520325
